scenario,step,requested_action,action,turn_bias,delta_heading,delta_x,delta_y,delta_distance,collision
front,40,walk_forward,rest,-0.010452961672473782,0.0,0.0,0.0,0.0,True
front,41,walk_forward,rest,-0.06620209059233448,0.0,0.0,0.0,0.0,True
front,42,walk_forward,rest,0.07665505226480837,0.0,0.0,0.0,0.0,True
front,43,walk_forward,rest,-0.010452961672473782,0.0,0.0,0.0,0.0,True
front,44,walk_forward,rest,-0.06620209059233448,0.0,0.0,0.0,0.0,True
front,45,walk_forward,rest,0.07665505226480837,0.0,0.0,0.0,0.0,True
front,46,walk_forward,rest,-0.010452961672473782,0.0,0.0,0.0,0.0,True
front,47,walk_forward,rest,-0.06620209059233448,0.0,0.0,0.0,0.0,True
front,48,walk_forward,rest,0.07665505226480837,0.0,0.0,0.0,0.0,True
front,49,walk_forward,rest,-0.010452961672473782,0.0,0.0,0.0,0.0,True
front,50,walk_forward,rest,-0.06620209059233448,0.0,0.0,0.0,0.0,True
front,51,walk_forward,rest,0.07665505226480837,0.0,0.0,0.0,0.0,True
front,52,walk_forward,rest,-0.010452961672473782,0.0,0.0,0.0,0.0,True
front,53,walk_forward,rest,-0.06620209059233448,0.0,0.0,0.0,0.0,True
front,54,walk_forward,rest,0.07665505226480837,0.0,0.0,0.0,0.0,True
front,55,walk_forward,rest,-0.010452961672473782,0.0,0.0,0.0,0.0,True
front,56,walk_forward,rest,-0.06620209059233448,0.0,0.0,0.0,0.0,True
front,57,walk_forward,rest,0.07665505226480837,0.0,0.0,0.0,0.0,True
front,58,walk_forward,rest,-0.010452961672473782,0.0,0.0,0.0,0.0,True
front,59,walk_forward,rest,-0.06620209059233448,0.0,0.0,0.0,0.0,True
front,60,walk_forward,rest,0.07665505226480837,0.0,0.0,0.0,0.0,True
front,61,walk_forward,rest,-0.010452961672473782,0.0,0.0,0.0,0.0,True
front,62,walk_forward,rest,-0.06620209059233448,0.0,0.0,0.0,0.0,True
front,63,walk_forward,rest,0.07665505226480837,0.0,0.0,0.0,0.0,True
front,64,walk_forward,rest,-0.010452961672473782,0.0,0.0,0.0,0.0,True
front,65,walk_forward,rest,-0.06620209059233448,0.0,0.0,0.0,0.0,True
front,66,walk_forward,rest,0.07665505226480837,0.0,0.0,0.0,0.0,True
front,67,walk_forward,rest,-0.010452961672473782,0.0,0.0,0.0,0.0,True
front,68,walk_forward,rest,-0.06620209059233448,0.0,0.0,0.0,0.0,True
front,69,walk_forward,rest,0.07665505226480837,0.0,0.0,0.0,0.0,True
front,70,walk_forward,rest,-0.010452961672473782,0.0,0.0,0.0,0.0,True
front,71,walk_forward,rest,-0.06620209059233448,0.0,0.0,0.0,0.0,True
front,72,walk_forward,rest,0.07665505226480837,0.0,0.0,0.0,0.0,True
front,73,walk_forward,rest,-0.010452961672473782,0.0,0.0,0.0,0.0,True
front,74,walk_forward,rest,-0.06620209059233448,0.0,0.0,0.0,0.0,True
front,75,walk_forward,rest,0.07665505226480837,0.0,0.0,0.0,0.0,True
front,76,walk_forward,rest,-0.010452961672473782,0.0,0.0,0.0,0.0,True
front,77,walk_forward,rest,-0.06620209059233448,0.0,0.0,0.0,0.0,True
front,78,walk_forward,rest,0.07665505226480837,0.0,0.0,0.0,0.0,True
front,79,walk_forward,rest,-0.010452961672473782,0.0,0.0,0.0,0.0,True
front,80,walk_forward,rest,-0.06620209059233448,0.0,0.0,0.0,0.0,True
front,81,walk_forward,rest,0.07665505226480837,0.0,0.0,0.0,0.0,True
front,82,walk_forward,rest,-0.010452961672473782,0.0,0.0,0.0,0.0,True
front,83,walk_forward,rest,-0.06620209059233448,0.0,0.0,0.0,0.0,True
front,84,walk_forward,rest,0.07665505226480837,0.0,0.0,0.0,0.0,True
front,85,walk_forward,rest,-0.010452961672473782,0.0,0.0,0.0,0.0,True
front,86,walk_forward,rest,-0.06620209059233448,0.0,0.0,0.0,0.0,True
front,87,walk_forward,rest,0.07665505226480837,0.0,0.0,0.0,0.0,True
front,88,walk_forward,rest,-0.010452961672473782,0.0,0.0,0.0,0.0,True
front,89,walk_forward,rest,-0.06620209059233448,0.0,0.0,0.0,0.0,True
front,90,walk_forward,rest,0.07665505226480837,0.0,0.0,0.0,0.0,True
front,91,walk_forward,rest,-0.010452961672473782,0.0,0.0,0.0,0.0,True
front,92,walk_forward,rest,-0.06620209059233448,0.0,0.0,0.0,0.0,True
front,93,walk_forward,rest,0.07665505226480837,0.0,0.0,0.0,0.0,True
front,94,walk_forward,rest,-0.010452961672473782,0.0,0.0,0.0,0.0,True
front,95,walk_forward,rest,-0.06620209059233448,0.0,0.0,0.0,0.0,True
front,96,walk_forward,rest,0.07665505226480837,0.0,0.0,0.0,0.0,True
front,97,walk_forward,rest,-0.010452961672473782,0.0,0.0,0.0,0.0,True
front,98,walk_forward,rest,-0.06620209059233448,0.0,0.0,0.0,0.0,True
front,99,walk_forward,rest,0.07665505226480837,0.0,0.0,0.0,0.0,True
